date,open,high,low,close,volume
1663767000,386.11,389.31,377.38,377.39,106746600
1663853400,376.58,378.30,373.44,374.22,89472600
1663939800,370.58,370.62,363.29,367.95,122346900
1664199000,366.41,370.21,363.03,364.31,92581200
1664285400,368.02,370.40,360.87,363.38,108294100
1664371800,364.38,372.30,362.60,370.53,110802200
1664458200,366.81,367.11,359.70,362.79,112952300
1664544600,361.80,365.91,357.04,357.18,153711200
1664803800,361.08,368.55,359.21,366.61,89756500
1664890200,372.40,378.00,366.57,377.97,103602800
1664976600,373.39,379.46,370.95,377.09,88065700
1665063000,375.62,378.72,372.68,373.20,82333500
1665149400,368.97,373.29,360.94,362.79,107789500
1665408600,363.96,364.21,357.67,360.02,76042800
1665495000,358.24,363.03,355.71,357.74,92482800
1665581400,358.17,359.82,356.30,356.56,76991800
1665667800,349.21,367.51,348.11,365.97,147254500
1665754200,368.55,370.26,356.96,357.63,123737000
1666013400,364.01,367.98,357.28,366.82,93168200
1666099800,375.13,375.45,367.52,371.13,97162900
1666186200,368.99,371.85,365.55,368.50,79746900
1666272600,368.03,372.67,364.61,365.41,88283100
1666359000,365.12,374.80,363.54,374.29,131038400
1666618200,375.89,380.06,373.11,378.87,85436900
1666704600,378.79,385.25,378.67,384.92,78846300
1666791000,381.62,387.58,381.35,382.02,104087300
1666877400,383.07,385.00,379.33,379.98,81971800
1666963800,379.87,389.52,379.68,389.02,100302000
1667223000,386.44,388.40,385.26,386.21,96631300
1667309400,390.14,390.39,383.29,384.52,85407600
1667395800,383.90,388.63,374.76,374.87,126990400
1667482200,371.47,374.20,368.79,371.01,87100100
1667568600,377.00,378.87,370.00,376.35,103505200
1667831400,377.71,380.57,375.53,379.95,68286900
1667917800,381.11,385.12,377.72,382.00,84641100
1668004200,379.93,381.14,373.61,374.13,78495500
1668090600,388.05,395.04,385.64,394.69,141455800
1668177000,395.59,399.35,393.61,398.51,93839900
1668436200,396.66,400.18,394.83,395.12,71903500
1668522600,401.15,402.31,394.49,398.49,93194500
1668609000,396.78,397.78,394.79,395.45,68508500
1668695400,390.46,394.95,390.14,394.24,74496300
1668781800,397.74,397.81,393.04,396.03,92922500
1669041000,394.64,395.82,392.66,394.59,51243200
1669127400,396.63,400.07,395.15,399.90,60429000
1669213800,399.55,402.93,399.31,402.42,68261600
1669386600,401.83,402.91,401.54,402.33,30545400
1669645800,399.09,400.81,395.11,395.91,67881600
1669732200,396.05,397.30,393.30,395.23,52310000
1669818600,395.49,407.68,393.48,407.68,144566700
1669905000,408.77,410.00,404.75,407.38,76398200
1669991400,402.25,407.86,402.14,406.91,85342700
1670250600,403.95,404.93,398.17,399.59,77289800
1670337000,399.42,399.99,391.64,393.83,77972200
1670423400,392.94,395.64,391.97,393.16,65927900
1670509800,395.14,397.36,393.27,396.24,60737900
1670596200,394.94,397.62,393.15,393.28,81447700
1670855400,394.11,398.95,393.41,398.95,75405800
1670941800,410.22,410.49,399.07,401.97,123782500
1671028200,401.61,405.50,396.31,399.40,108111300
1671114600,394.30,395.25,387.89,389.63,117705900
1671201000,385.18,386.58,381.04,383.27,119858000
1671460200,383.47,383.82,378.28,380.02,79878100
1671546600,379.23,382.23,377.85,380.54,74427200
1671633000,383.25,387.41,382.69,386.23,78167400
1671719400,383.05,386.21,374.77,380.72,100120900
1671805800,379.65,383.06,378.03,382.91,59857300
