date,open,high,low,close,volume
1648560600,368.90,371.83,366.06,371.19,68073000
1648647000,369.28,370.98,365.57,367.09,68757700
1648733400,367.24,367.60,361.68,362.54,67011400
1648819800,362.81,363.61,358.59,361.85,54527800
1649079000,362.71,369.31,362.44,369.30,45950200
1649165400,367.81,368.54,359.93,361.10,62738700
1649251800,355.65,356.78,350.56,353.26,90077100
1649338200,352.24,356.35,348.69,354.10,63777400
1649424600,352.32,353.09,348.50,349.15,61956100
1649683800,344.81,345.75,340.54,340.89,66107400
1649770200,345.76,347.69,338.04,339.45,72790200
1649856600,339.80,347.43,339.06,346.35,61367800
1649943000,346.44,346.97,338.21,338.43,73519400
1650288600,337.35,341.04,335.79,338.69,58560600
1650375000,338.03,346.85,336.98,346.26,56515700
1650461400,347.09,347.56,339.96,341.21,65500000
1650547800,345.19,347.87,333.20,334.15,75801000
1650634200,334.31,335.56,324.96,325.40,82562100
1650893400,323.73,329.90,322.43,329.58,101755900
1650979800,327.47,327.66,316.86,317.14,105819600
1651066200,317.24,322.88,315.00,316.76,111204200
1651152600,321.85,329.89,317.52,328.01,99450000
1651239000,323.70,327.23,312.60,313.25,91977900
1651498200,312.83,318.72,309.65,318.48,115511800
1651584600,318.50,321.17,315.98,318.82,78185500
1651671000,319.31,330.29,313.89,329.60,116083400
1651757400,325.17,325.25,309.62,313.00,154607400
1651843800,310.95,315.09,305.11,309.25,139572800
1652103000,303.48,309.35,295.72,297.15,113387300
1652189400,304.51,305.76,296.57,300.76,124124600
1652275800,298.44,304.09,290.95,291.84,140326100
1652362200,287.45,295.75,284.94,291.15,120910900
1652448600,295.72,303.00,294.08,301.94,83684900
1652707800,300.15,302.26,297.13,298.44,59190400
1652794200,304.45,306.56,300.55,306.17,62715300
1652880600,301.54,302.25,289.85,291.14,79477100
1652967000,289.29,294.39,287.58,289.58,79920700
1653053400,293.13,293.80,280.21,288.68,91764200
1653312600,289.75,293.87,287.29,293.48,63648400
1653399000,288.13,288.86,282.25,287.24,73491100
1653485400,285.71,293.39,285.50,291.26,67144500
1653571800,290.44,300.92,290.15,299.33,59462200
1653658200,302.54,309.25,302.42,309.10,66985600
1654003800,309.07,311.33,304.33,308.28,60968300
1654090200,310.47,312.65,303.73,306.00,65341700
1654176600,304.85,314.56,303.40,314.38,59291300
1654263000,309.03,310.47,304.92,306.20,60914700
1654522200,310.75,312.35,305.62,307.22,51785000
1654608600,303.81,310.67,302.69,309.87,44900300
1654695000,309.05,311.72,306.77,307.64,38342100
1654781400,305.91,309.05,299.23,299.40,55900500
1654867800,293.65,294.87,288.38,288.84,85963500
1655127000,279.75,282.34,274.53,275.41,94442000
1655213400,277.66,278.66,273.34,275.91,64697500
1655299800,279.42,286.83,276.61,282.80,86051400
